the_geom,lng,objectid,year,dc_key,code,date_,race,sex,age,wound,officer_involved,the_geom_webmercator,offender_deceased,location,latino,point_x,point_y,dist,time,inside,outside,fatal,lat,offender_injured
0101000020E6100000E8C3EDAFE2C952C08015D84A85FE4340,-75.15446089,1843,2015.0,201522028354,0411,2015-04-03,B,M,23,arm,N,0101000020110F00006DA84B1413EA5FC1CF7C1EBD418E5241,N,2300 BLOCK N PARK AVE,0,-75.15446089,39.98844276,22,02:04:00,0.0,1.0,0.0,39.98844276,N
0101000020E610000014004644EFC852C0C86AEB8EE2014440,-75.13960368,1844,2015.0,201525045973,0350,2015-06-08,B,F,22,head,N,0101000020110F0000715CE29A75E85FC13848B4A1FC915241,N,4100 BLOCK N FRANKLIN ST,0,-75.13960368,40.01472651,25,04:09:00,1.0,0.0,0.0,40.01472651,N
0101000020E6100000915752B453C752C08167527555FE4340,-75.11448391,1845,2016.0,201624004859,0300,2016-01-15,W,M,21,multi,N,0101000020110F00002A656786BAE55FC1004929B70C8E5241,N,2900 BLOCK JANNEY ST,1,-75.11448391,39.98698298,24,23:00:00,1.0,1.0,0.0,39.98698298,N
0101000020E61000004E8E2BC372CB52C0B6CBE9786D004440,-75.17887954,1846,2016.0,201639056823,0411,2016-07-11,B,M,28,multi,N,0101000020110F000020EDAEA5BAEC5FC1906363F15E905241,N,3100 BLOCK N 30TH ST,0,-75.17887954,40.00334083,39,21:49:00,0.0,1.0,0.0,40.00334083,N
0101000020E6100000A208EBF76BCB52C0F90C6E8C19F84340,-75.17846487,1847,2015.0,201517047528,0411,2015-09-23,B,M,26,foot,N,0101000020110F0000B581631BAFEC5FC1F104365324875241,N,21ST & ELLSWORTH STRTH ST,0,-75.17846487,39.93827968,17,00:23:00,0.0,1.0,0.0,39.93827968,N
0101000020E61000006AE278997CC952C09B99B236BA004440,-75.14822995,1848,2015.0,201525089718,0411,2015-10-31,B,M,34,leg,N,0101000020110F0000608B4AAC65E95FC11971C507B4905241,N,3400 BLOCK OLD YORK RD,0,-75.14822995,40.00568279,25,04:28:00,0.0,1.0,0.0,40.00568279,N
0101000020E61000005F9996DC91CF52C0A010A6CDDDFA4340,-75.24327769,1849,2016.0,201618070752,0411,2016-09-25,B,M,25,multi,N,0101000020110F0000B594EAD6BAF35FC12EE95EF8348A5241,N,6100 BLOCK SANSOM ST,0,-75.24327769,39.9598939,18,17:49:00,0.0,1.0,0.0,39.9598939,N
0101000020E6100000C0023D79FDC952C02F635463D3024440,-75.1560958,1850,2015.0,201539005422,0411,2015-01-22,B,M,28,multi,N,0101000020110F00000B38209440EA5FC18DDB19B507935241,N,4400 BLOCK N GRATZ ST,0,-75.1560958,40.02207605,39,00:10:00,0.0,1.0,0.0,40.02207605,N
0101000020E6100000D1EF35E338CB52C043FFE308C2FD4340,-75.17534714,1851,2016.0,201622055913,0411,2016-07-03,B,M,20,leg,N,0101000020110F00009607495758EC5FC12A4A584E698D5241,N,2400 BLOCK CLIFFORD ST,0,-75.17534714,39.98248397,22,18:30:00,0.0,1.0,0.0,39.98248397,N
0101000020E6100000F76194D2B9CE52C0697EEB796DFB4340,-75.23009171,1852,2016.0,201619071746,0411,2016-08-07,B,M,33,multi,N,0101000020110F00001A6318E04BF25FC128C2672BD48A5241,N,5400 BLOCK SPRING ST,0,-75.23009171,39.96427845,19,00:15:00,0.0,1.0,0.0,39.96427845,N
0101000020E6100000FCFE8B6F01C952C0AFB1CF8C93FD4340,-75.14071263,1853,2015.0,201526037483,0411,2015-07-27,W,M,18,buttocks,N,0101000020110F00002F498A7794E85FC17F8473C8358D5241,N,400 BLOCK W NORRIS ST,1,-75.14071263,39.98106537,26,00:25:00,0.0,1.0,0.0,39.98106537,N
